created_at,id,id_str,text,truncated,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang
Tue Jun 15 22:48:09 +0000 2021,1404933778343092228,1404933778343092228,@Supervivientes porqué dejan hasta el final #playadestierro ? Será que buscan la excusa perfecta para que los #haters sigan #odiando,False,"{'hashtags': [{'text': 'playadestierro', 'indices': [44, 59]}, {'text': 'haters', 'indices': [110, 117]}, {'text': 'odiando', 'indices': [124, 132]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Supervivientes', 'name': 'Supervivientes', 'id': 256695068, 'id_str': '256695068', 'indices': [0, 15]}], 'urls': []}","{'iso_language_code': 'es', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,256695068.0,256695068,Supervivientes,"{'id': 1270690519954399232, 'id_str': '1270690519954399232', 'name': 'Roadolfo', 'screen_name': 'Roadolfo_cycle', 'location': 'Arezzo, Toscana', 'description': 'Acompáñame #conelmundoatuapies en 🚲 en plena pandemia!', 'url': 'https://t.co/M3BHIQypw0', 'entities': {'url': {'urls': [{'url': 'https://t.co/M3BHIQypw0', 'expanded_url': 'https://linktr.ee/Roadolfo', 'display_url': 'linktr.ee/Roadolfo', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 101, 'friends_count': 235, 'listed_count': 2, 'created_at': 'Wed Jun 10 12:13:34 +0000 2020', 'favourites_count': 622, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 530, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1375717783942627328/9oS_nFI1_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1375717783942627328/9oS_nFI1_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1270690519954399232/1616831637', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,"{'id': '3cdc9bdd1a09401f', 'url': 'https://api.twitter.com/1.1/geo/id/3cdc9bdd1a09401f.json', 'place_type': 'city', 'name': 'Vilamarxant', 'full_name': 'Vilamarxant, España', 'country_code': 'ES', 'country': 'Spain', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.7213268, 39.5171924], [-0.590261, 39.5171924], [-0.590261, 39.6082919], [-0.7213268, 39.6082919]]]}, 'attributes': {}}",,False,0,0,False,False,es
Tue Jun 15 22:09:46 +0000 2021,1404924117116014593,1404924117116014593,Want to know why I celebrate Pride and diversity? Because of people who send messages like the below when they don’… https://t.co/lQ0iuR1jm1,True,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/lQ0iuR1jm1', 'expanded_url': 'https://twitter.com/i/web/status/1404924117116014593', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 88261463, 'id_str': '88261463', 'name': 'Chris Holkestad', 'screen_name': 'holkestad', 'location': 'Colorado, USA', 'description': 'Love all. Trust a few. Do harm to none. World citizen. Currently on the front range 🌎', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 36, 'friends_count': 129, 'listed_count': 0, 'created_at': 'Sat Nov 07 20:14:32 +0000 2009', 'favourites_count': 1823, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 348, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1253832846885568512/YZTL6zyg_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1253832846885568512/YZTL6zyg_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/88261463/1480483175', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False,en
Tue Jun 15 22:07:15 +0000 2021,1404923484216696833,1404923484216696833,Why y’all don’t like ppl when they getting money but love em when they broke? #haters,False,"{'hashtags': [{'text': 'haters', 'indices': [78, 85]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 359619525, 'id_str': '359619525', 'name': 'TaForevaGirl🤞🏽❤️', 'screen_name': 'darkeyb', 'location': 'Newyork', 'description': '👄|NEVER Needed, no clarification I know I’m that bitch🤪 #SC:Darkeyb ://onlyfans.com/#ForeverTA👼🏽', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1068, 'friends_count': 754, 'listed_count': 0, 'created_at': 'Sun Aug 21 22:14:13 +0000 2011', 'favourites_count': 7135, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 30996, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'FFF04D', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme19/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme19/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1394799550217560066/1IsquVEA_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1394799550217560066/1IsquVEA_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/359619525/1618619591', 'profile_link_color': '0099CC', 'profile_sidebar_border_color': 'FFF8AD', 'profile_sidebar_fill_color': 'F6FFD1', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False,en
Tue Jun 15 21:58:23 +0000 2021,1404921252100276225,1404921252100276225,"HATERS = Hobinya ngurusin hidup orang, padahal hidup dia sendiri masih suram.

#Haters #Twitter",False,"{'hashtags': [{'text': 'Haters', 'indices': [79, 86]}, {'text': 'Twitter', 'indices': [87, 95]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'in', 'result_type': 'recent'}","<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",,,,,,"{'id': 1399048662, 'id_str': '1399048662', 'name': 'BUAT TEMAN JAHAT', 'screen_name': 'tmn_pengkhianat', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 323, 'friends_count': 1020, 'listed_count': 15, 'created_at': 'Fri May 03 07:25:27 +0000 2013', 'favourites_count': 11, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 106688, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/600352071410384896/n016KtlR_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/600352071410384896/n016KtlR_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False,in
Tue Jun 15 21:46:52 +0000 2021,1404918352976367618,1404918352976367618,I could get along with anyone in general &amp; some people really don’t like that about me lmao 😂🤷‍♀️✌️ #Haters,False,"{'hashtags': [{'text': 'Haters', 'indices': [104, 111]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 1369699658, 'id_str': '1369699658', 'name': 'Jaylo', 'screen_name': 'jaylomejia', 'location': '', 'description': 'ig: Jaylo.mejia 🦋 Snapchat: jaylo.mejia', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 101, 'friends_count': 98, 'listed_count': 0, 'created_at': 'Sun Apr 21 14:28:45 +0000 2013', 'favourites_count': 1312, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 610, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1385570981889015817/EmHel3-A_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1385570981889015817/EmHel3-A_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1369699658/1520588334', 'profile_link_color': 'E81C4F', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,"{'id': 'fcd177d5a0545c9c', 'url': 'https://api.twitter.com/1.1/geo/id/fcd177d5a0545c9c.json', 'place_type': 'city', 'name': 'Lynwood', 'full_name': 'Lynwood, CA', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-118.230888, 33.905084], [-118.175869, 33.905084], [-118.175869, 33.9454397], [-118.230888, 33.9454397]]]}, 'attributes': {}}",,False,0,0,False,False,en
Tue Jun 15 21:36:06 +0000 2021,1404915643573583873,1404915643573583873,#ดิวอริสรา #hatersgonnahate #Haters #LoveSTAY #loveislove https://t.co/DN1qX40Qd3,False,"{'hashtags': [{'text': 'ดิวอริสรา', 'indices': [0, 10]}, {'text': 'hatersgonnahate', 'indices': [11, 27]}, {'text': 'Haters', 'indices': [28, 35]}, {'text': 'LoveSTAY', 'indices': [36, 45]}, {'text': 'loveislove', 'indices': [46, 57]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1404915595804557318, 'id_str': '1404915595804557318', 'indices': [58, 81], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1404915595804557318/pu/img/tKyJwfI8J-wfbAk4.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1404915595804557318/pu/img/tKyJwfI8J-wfbAk4.jpg', 'url': 'https://t.co/DN1qX40Qd3', 'display_url': 'pic.twitter.com/DN1qX40Qd3', 'expanded_url': 'https://twitter.com/Amazingfactz11/status/1404915643573583873/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}","{'iso_language_code': 'und', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 1404911642685673473, 'id_str': '1404911642685673473', 'name': 'Amazingfactz1', 'screen_name': 'Amazingfactz11', 'location': 'Sheffield, England', 'description': 'Dynamic', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 0, 'friends_count': 2, 'listed_count': 0, 'created_at': 'Tue Jun 15 21:20:32 +0000 2021', 'favourites_count': 0, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 18, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1404911917815242753/W259reQ8_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1404911917815242753/W259reQ8_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False,und
Tue Jun 15 21:17:03 +0000 2021,1404910850444386308,1404910850444386308,#Celebs #haters #KevinHart #LOL Kevin Hart Claps Back At Haters Who Say ‘He’s Not Funny’ https://t.co/RvXUcyOH1A https://t.co/4CKnJHuCC5,False,"{'hashtags': [{'text': 'Celebs', 'indices': [0, 7]}, {'text': 'haters', 'indices': [8, 15]}, {'text': 'KevinHart', 'indices': [16, 26]}, {'text': 'LOL', 'indices': [27, 31]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RvXUcyOH1A', 'expanded_url': 'https://viraltemperature.com/kevin-hart-claps-back-at-haters-who-say-hes-not-funny/?utm_source=dlvr.it&utm_medium=twitter', 'display_url': 'viraltemperature.com/kevin-hart-cla…', 'indices': [89, 112]}], 'media': [{'id': 1404910848791912448, 'id_str': '1404910848791912448', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/media/E38--TNVoAAQsI2.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E38--TNVoAAQsI2.jpg', 'url': 'https://t.co/4CKnJHuCC5', 'display_url': 'pic.twitter.com/4CKnJHuCC5', 'expanded_url': 'https://twitter.com/viral_editor/status/1404910850444386308/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1024, 'h': 682, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 682, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,,,,"{'id': 1294202697994969088, 'id_str': '1294202697994969088', 'name': 'ViralTemperature', 'screen_name': 'viral_editor', 'location': 'New York, USA', 'description': 'Viral news in excerpts & summaries. #news #trending #latest', 'url': 'https://t.co/70zd7Qnwz5', 'entities': {'url': {'urls': [{'url': 'https://t.co/70zd7Qnwz5', 'expanded_url': 'https://viraltemperature.com/', 'display_url': 'viraltemperature.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 184, 'friends_count': 653, 'listed_count': 0, 'created_at': 'Fri Aug 14 09:22:33 +0000 2020', 'favourites_count': 23, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 22991, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1294204609033117704/tomRPepa_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1294204609033117704/tomRPepa_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1294202697994969088/1597397576', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False,en
Tue Jun 15 21:11:20 +0000 2021,1404909413899464704,1404909413899464704,Simone Biles Says She Wears a Goat on Leotard to 'Hit Back at the Haters' - People #goat #haters #confidence  https://t.co/l8dJPjUC0c,False,"{'hashtags': [{'text': 'goat', 'indices': [83, 88]}, {'text': 'haters', 'indices': [89, 96]}, {'text': 'confidence', 'indices': [97, 108]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/l8dJPjUC0c', 'expanded_url': 'https://apple.news/A3AQZLLuCSw6opZW66Fs3Cg', 'display_url': 'apple.news/A3AQZLLuCSw6op…', 'indices': [110, 133]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 14124550, 'id_str': '14124550', 'name': 'Eric Rodwell', 'screen_name': 'ericrodwell', 'location': 'Denver, Colorado', 'description': 'Sports Junkie, SaaS Leader, Speaker, OCR, Husband, Father, Golf Hacker, Snowboarder, Wannabe Chef, Looking To Make A Difference In People’s Lives And the World!', 'url': 'https://t.co/Uz2gNKbn71', 'entities': {'url': {'urls': [{'url': 'https://t.co/Uz2gNKbn71', 'expanded_url': 'http://www.linkedin.com/in/ericrodwell', 'display_url': 'linkedin.com/in/ericrodwell', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 3334, 'friends_count': 4972, 'listed_count': 65, 'created_at': 'Tue Mar 11 15:34:03 +0000 2008', 'favourites_count': 6635, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 5798, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/963124378165587968/dx7Om4Cw_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/963124378165587968/dx7Om4Cw_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/14124550/1398206666', 'profile_link_color': '000000', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False,en
Tue Jun 15 21:06:32 +0000 2021,1404908202681147396,1404908202681147396,@danybeaulieuu @NHL @GoldenKnights So you think vegas people know nothing ? Plenty of transplants from all over tha… https://t.co/685pywEO58,True,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'danybeaulieuu', 'name': 'Dany Beaulieu', 'id': 1018557744251535363, 'id_str': '1018557744251535363', 'indices': [0, 14]}, {'screen_name': 'NHL', 'name': 'NHL', 'id': 50004938, 'id_str': '50004938', 'indices': [15, 19]}, {'screen_name': 'GoldenKnights', 'name': 'Vegas Golden Knights', 'id': 743155992997691392, 'id_str': '743155992997691392', 'indices': [20, 34]}], 'urls': [{'url': 'https://t.co/685pywEO58', 'expanded_url': 'https://twitter.com/i/web/status/1404908202681147396', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.4048334335667814e+18,1404833433566781447,1.0185577442515354e+18,1018557744251535363,danybeaulieuu,"{'id': 1371791026214567939, 'id_str': '1371791026214567939', 'name': 'Tanya Houston Realtor', 'screen_name': 'TanyaHoustonRe1', 'location': 'Houston, TX', 'description': 'Buy| Sell| Invest📍#TEXAS #Realtor * You’re not just buying a house you’re buying a LIFESTYLE 🗝 Brokered by KW Memorial Houston TX- https://t.co/Euqd24VjBr', 'url': 'https://t.co/DJVMx7FLE8', 'entities': {'url': {'urls': [{'url': 'https://t.co/DJVMx7FLE8', 'expanded_url': 'https://linktr.ee/Tanya315', 'display_url': 'linktr.ee/Tanya315', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/Euqd24VjBr', 'expanded_url': 'http://tanyacyr.kw.com', 'display_url': 'tanyacyr.kw.com', 'indices': [131, 154]}]}}, 'protected': False, 'followers_count': 50, 'friends_count': 288, 'listed_count': 1, 'created_at': 'Tue Mar 16 11:50:55 +0000 2021', 'favourites_count': 152, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 108, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1382805030835785731/dCbFEWUH_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1382805030835785731/dCbFEWUH_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1371791026214567939/1615896948', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False,en
Tue Jun 15 20:48:36 +0000 2021,1404903690419408896,1404903690419408896,"Hate is like eating lye; it destroys you from the inside out but it won't affect your enemies at all. Still, one mu… https://t.co/k4r5BfDHxA",True,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/k4r5BfDHxA', 'expanded_url': 'https://twitter.com/i/web/status/1404903690419408896', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 40962417, 'id_str': '40962417', 'name': 'Gene Cartwright', 'screen_name': 'genecartwright', 'location': 'Los Angeles', 'description': 'Father, author, screenwriter, past Oprah guest, fmr engr, Marine. Newest: ""The Value of Small Things."" https://t.co/EWVYnDuZd9 & Amazon: https://t.co/5bzXZYPYwR', 'url': 'https://t.co/EWVYnDuZd9', 'entities': {'url': {'urls': [{'url': 'https://t.co/EWVYnDuZd9', 'expanded_url': 'http://GeneCartwrightBooks.com', 'display_url': 'GeneCartwrightBooks.com', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/EWVYnDuZd9', 'expanded_url': 'http://GeneCartwrightBooks.com', 'display_url': 'GeneCartwrightBooks.com', 'indices': [103, 126]}, {'url': 'https://t.co/5bzXZYPYwR', 'expanded_url': 'https://rb.gy/wgtseb', 'display_url': 'rb.gy/wgtseb', 'indices': [137, 160]}]}}, 'protected': False, 'followers_count': 1260, 'friends_count': 1267, 'listed_count': 30, 'created_at': 'Mon May 18 20:39:41 +0000 2009', 'favourites_count': 4118, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 6455, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1397041817837703170/QX8WGvlq_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1397041817837703170/QX8WGvlq_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/40962417/1602362329', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDFFCC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False,en
